backdrop_path,budget,id,origin_country,overview,popularity,poster_path,revenue,mots_cles,title,tconst,startYear,runtimeMinutes,genres,averageRating,numVotes,bande_annonce
https://image.tmdb.org/t/p/original/jf2FtZmfwURp9IfD6p7zAtCJkUs.jpg,0,11399,['FR'],"Talented 20-year-old Lolita dreams of a singing career. But her self-esteem is low due to her weight problem and her narcissistic father, Étienne, a literary star with scant interest in his daughter's life. Lolita finds little comfort in the attentions of her vocal coach, suspecting the woman is using her to meet her influential father. Étienne's second wife proves to be Lolita's only trustworthy ally in her private battle to find a sense of worth.",1.0539,https://image.tmdb.org/t/p/w500/kRtLMLdf6PkOjWCvhTpa811aMZy.jpg,0,"['overweight woman', 'author', 'falling in love', 'arrogance', 'woman director', 'complex']",Comme une image,tt0374583,2004,110,"Comedy,Drama,Music",6.8,5561,pas disponible
https://image.tmdb.org/t/p/original/lG8NOXROOWHlUovTeHp9RjALpec.jpg,0,17213,"['FR', 'CA']","This is the story of Mr. Brochu, whose friends like to call ""the Boss"". He runs his gas station the best he can and tries to stay happy no matter what happens. This movie relates all the small tragedies surrounding the gaz bar, such as hold-ups, competition from the big companies invading the neighbourhood, and the fact that is sons don't seem to be interested in the gas station.",0.145,https://image.tmdb.org/t/p/w500/5kbVOF04fG1e7uFKyRu9VNdypqJ.jpg,0,[],Le début de la fin,tt0379298,2003,115,"Comedy,Drama",7.6,1198,pas disponible
https://image.tmdb.org/t/p/original/wIK3PmfQFLISrFl455tq99kkVBW.jpg,0,39386,['FR'],"Jack Palmer is a Paris-based detective with a huge ego. Ange Leoni is a rebel native of Corsica whose location can't be pinned down by even the most dogged of detectives. Approached by an obscure, small-time attorney and charged with the seemingly simple task of locating the missing Leoni, gifted gumshoe Palmer accepts the job under the assumption that it will be the easiest money of his professional career. But this superstar sleuth is about to find out just how mistaken he was...",0.9025,https://image.tmdb.org/t/p/w500/aeYtaowpQTgp5OvIsimvsFHyNzG.jpg,0,"['island', 'inheritance', 'terrorism', 'private detective']",L'Enquête corse,tt0380349,2004,92,"Action,Comedy,Crime",5.8,4536,https://www.youtube.com/watch?v=AKgkChvWlgE
https://image.tmdb.org/t/p/original/nlcJbqVPEnxjIgsC3LtGo4VqZfI.jpg,10900000,14653,['FR'],Is love compatible with coupledom? And what of freedom and fidelity? These are some of the questions facing two married men.,1.2114,https://image.tmdb.org/t/p/w500/iD9h5RnOqOyt19EUA94zbuGpWHE.jpg,7725902,"['midlife crisis', 'marriage', 'love']",Ils se marièrent et eurent beaucoup d'enfants,tt0381270,2004,100,"Comedy,Drama,Music",6.4,5565,https://www.youtube.com/watch?v=XJ7HfRJiAZs
https://image.tmdb.org/t/p/original/yfOZnKb77EOLGewJcvSCb5fZ2a2.jpg,823258,20200,['FR'],"Gustave Klopp suffers from narcolepsy, he can fall asleep everwhere at anytime whithout warning. Living a simple life with his wife Pam and his best friend Lenny Bar, Gus decides to undergo therapy sessions and finds out that he can make incredible comics from his dreams.",0.9652,https://image.tmdb.org/t/p/w500/w4Ea1P4Ig5B48hZl9owRshUepVs.jpg,823258,"['dreams', 'coma', 'therapist', 'group therapy', 'comic book', 'narcolepsy']",Narco,tt0381442,2004,105,Comedy,6.2,2915,https://www.youtube.com/watch?v=Sy7g1d8Ks3c
https://image.tmdb.org/t/p/original/c6L4ns0Nac4I9lr7yTE9Xf4TI8I.jpg,0,10271,['FR'],"Raphael is a ghostwriter who takes a job writing for famous footy player Kevin. To his delight and his girlfriend, Murials horror, Kevins current girlfriend is an old (easily rekindled) flame of Raphaels. A freak accident leaves a close friend dead and Raphael is forced to reconsider his priorities.",0.5927,https://image.tmdb.org/t/p/w500/yjBq8pSEXpnmypHkIXqFhVXahnw.jpg,0,"['paris, france']",Mensonges et trahisons et plus si affinités...,tt0383025,2004,90,"Comedy,Romance",6.6,1792,pas disponible
https://image.tmdb.org/t/p/original/5UJFS2nXZKiJ6xmxBfLdG4k3CBQ.jpg,3500000,16930,['FR'],"Who would think losing car keys could lead us that far ? Be careful, adventure is on every street corner...",0.6044,https://image.tmdb.org/t/p/w500/zzaO8iWpWEA84kD2L02xCOqZ9p3.jpg,1033000,[],Les clefs de bagnole,tt0383995,2003,90,Comedy,5.3,1581,https://www.youtube.com/watch?v=OxjoFpThShI
https://image.tmdb.org/t/p/original/i565zTNe8qZ8U02aEVUMlAkTQfT.jpg,0,52538,['FR'],A wedding is an opportunity for three couples of different generations to question commitment and the strength of love.,0.2282,https://image.tmdb.org/t/p/w500/njPn7AkNq202TCQBVi9PFrt3htd.jpg,0,['woman director'],Mariages!,tt0388242,2004,100,"Comedy,Drama",5.6,1224,pas disponible
https://image.tmdb.org/t/p/original/w70hJkM78ooUkQ6br4DQPdLEY5z.jpg,0,40192,['FR'],"The two friends Claude and Serge are fundamentally different in their temperament. Similarities arise only when they try to have a relationship with a woman, because both fail equally. While Claude is simply too shy to even start a relationship, let alone meet a woman, Serge is too jumpy to have a relationship. Together they go in search of the great love in all sorts of curious situations, from the self-help group on speed dating to wedding celebrations of strangers - in the hunt for the right woman, they are no way too far.",0.5159,https://image.tmdb.org/t/p/w500/gieCXEDWVb7DBfI3pXSmTzndisN.jpg,0,[],Je préfère qu'on reste amis,tt0399222,2005,100,"Comedy,Drama,Romance",6.0,1267,pas disponible
https://image.tmdb.org/t/p/original/3QZkFDe2GVQbOa8XZxK38BVsX1k.jpg,13000000,2266,"['FR', 'LI', 'DE', 'US', 'CH']","Olivier Assayas, Gus Van Sant, Wes Craven and Alfonso Cuaron are among the 20 distinguished directors who contribute to this collection of 18 stories, each exploring a different aspect of Parisian life. The colourful characters in this drama include a pair of mimes, a husband trying to chose between his wife and his lover, and a married man who turns to a prostitute for advice.",1.8024,https://image.tmdb.org/t/p/w500/mcke8Uvw8QDToAZQ94UGo7VU0g6.jpg,4900000,"['new love', 'paris, france', 'jazz', 'city portrait', 'subway', 'immigration', 'nanny', 'tourist', 'anthology', 'romance', 'human relationship', 'woman director', 'cities of love']","Paris, je t'aime",tt0401711,2006,120,"Comedy,Drama,Romance",7.2,75564,https://www.youtube.com/watch?v=i88sA7rD7as
https://image.tmdb.org/t/p/original/2GrIzazWXa7sDigrETwj9e0xIG1.jpg,13000000,1826,"['FR', 'GB']","Five years after their summer together in Barcelona, Xavier, William, Wendy, Martine and Isabelle reunite.",1.9722,https://image.tmdb.org/t/p/w500/3jB22Ii6FuE6YEMn1BHzsXaFUPm.jpg,23727301,"['ship', 'london, england', 'paris, france', 'screenplay', 'screenwriter', 'ex-girlfriend', 'boat wedding', 'st. petersburg, russia', 'ballet dancer', 'ballet', 'author', 'wedding']",Les poupées russes,tt0409184,2005,125,"Comedy,Drama,Romance",7.0,21649,https://www.youtube.com/watch?v=xxMUSPHkwAs
https://image.tmdb.org/t/p/original/sgDWw9FP95fN01NvS39wgM8T3Cf.jpg,4277280,1935,['FR'],"Louise, who has just written a novel, comes to Paris to meet with a potential publisher. While in the city, she stays with her older sister, Martine, who in many ways is the exact opposite of Louise: she lives in a fashionable neighborhood, is cold to others, and has snobby friends, while Louise lives in a small town and is thoroughly unpretentious. Louise's apparent happiness -- and similarities to their mother -- gradually gets on Martine's nerves.",0.6482,https://image.tmdb.org/t/p/w500/qf0IxCbVB1dwt6qrOcEIVkJxHm8.jpg,10467048,"['luxury', 'sibling relationship', 'paris, france', 'marriage crisis', 'province', 'frigidity', 'housewife', 'bourgeoisie', 'only child', 'gallery owner', 'author', 'decadence', 'woman director']",Les soeurs fâchées,tt0410639,2004,93,"Comedy,Drama",6.4,1921,pas disponible
https://image.tmdb.org/t/p/original/k1mpK3DhcgB7Shb3NZVuEKpoOgK.jpg,0,13746,['FR'],"Three women in their late thirties, one with marital problems, one trying to be perfect, and a spinster, discuss their relationship to men.",0.2841,https://image.tmdb.org/t/p/w500/krZnF5f0KXJ639jMAgVNkTUntbC.jpg,0,['woman director'],Tout pour plaire,tt0412298,2005,105,Comedy,6.0,1034,https://www.youtube.com/watch?v=ojHE7PnusXw
https://image.tmdb.org/t/p/original/6ivsB7jYpavflptoqbK6MNv4ulj.jpg,0,49838,['FR'],"JAM (Christian Clavier), a French ""master of the universe"" is on the brink of a major takeover when he starts suffering from anxiety attacks. His doctor (Lhermite) thinks it is to do with childhood experiences and suggests he searches back in his mind to something that could be the trigger and will prove to be the antidote.",0.6361,https://image.tmdb.org/t/p/w500/pmXYSWrt6OeBJk1UTLeqtpqCEng.jpg,0,[],L'antidote,tt0412422,2005,107,Comedy,5.3,1064,https://www.youtube.com/watch?v=jM-PoojHR3E
https://image.tmdb.org/t/p/original/ssfctwEwIrXReQrY7NJAJZGCVWV.jpg,4289601,17350,['FR'],A wannabe surfer parties on the French Riviera while awaiting the perfect wave.,1.1767,https://image.tmdb.org/t/p/w500/1bxno5lAD6PzulewOT9joMfGPsU.jpg,33026616,"['surfer', 'french riviera', 'surf', 'riviera']",Brice de Nice,tt0412535,2005,98,Comedy,5.1,8022,https://www.youtube.com/watch?v=uXBm7RTUizw
https://image.tmdb.org/t/p/original/upkbWBq5V5FY3Xr5vnsIJv2eetf.jpg,0,12453,"['FR', 'CH']","This coming-of-age drama deals with a young man, realizing who he really is and which things he will never do...",0.4677,https://image.tmdb.org/t/p/w500/hcWAaBdY87d98s1ulqS9AR4245m.jpg,0,"['coming out', 'suicide', 'sexual promiscuity', 'promiscuity', 'male prostitution', 'lgbt', 'homoerotism', 'gay theme']",Garçon stupide,tt0419766,2004,94,"Comedy,Drama,Romance",6.1,1310,pas disponible
https://image.tmdb.org/t/p/original/1PzHjlaPyG0vyBvZVfycVTZGUl1.jpg,0,5070,['FR'],"After winning the lottery, François goes to a bar in Pigalle and offers one hundred thousand Euros per month to a prostitute named Daniela to live with him as his wife until his money runs out.",4.3018,https://image.tmdb.org/t/p/w500/jD18aRBrHtr9YnwJoLdqPntxDGr.jpg,0,"['prostitute', 'relationship problems', 'sadomasochism', 'illegal prostitution', 'pigalle, paris', 'ex-husband ex-wife relationship']",Combien tu m'aimes?,tt0420555,2005,95,"Comedy,Drama,Romance",5.6,7992,https://www.youtube.com/watch?v=wQ00Fbl9yeU
https://image.tmdb.org/t/p/original/8aMGsqLtJ9wfGkFRvGJSm4kUDGU.jpg,0,34186,['FR'],"A chemist loses his job to outsourcing. Two years later and still jobless, he hits on a solution: to genuinely eliminate his competition.",0.4895,https://image.tmdb.org/t/p/w500/v6upsNV9GWkSn0ODM8hFpvbQNJn.jpg,0,"['based on novel or book', 'economy', 'unemployment', 'unemployed']",Le couperet,tt0422015,2005,117,"Comedy,Crime,Drama",7.3,8663,https://www.youtube.com/watch?v=j1r6kQI_BvE
https://image.tmdb.org/t/p/original/tvm6H8wpLv66kNZiVHUr08rEZXp.jpg,0,14644,['FR'],"A modern remake of Renoir's classic film. Aix-en-Provence, a spring night. Christian Lespinglet, an over-indebted gallery owner, rescues a homeless man, Boudu, from the waters of a canal who was trying to drown himself. Heroic to his detriment, he brings him home, for a few hours only... The incongruous arrival of Boudu will act like a mad dog in the game of skittles that is Christian's life...",0.5362,https://image.tmdb.org/t/p/w500/givvJ7jorPyQ6nO9lnPx99HsBr4.jpg,0,[],Boudu,tt0423877,2005,104,Comedy,5.2,1317,https://www.youtube.com/watch?v=KNB0uWHTOsI
https://image.tmdb.org/t/p/original/5aExhKUsirx2duLgYpOaV9wl0K6.jpg,0,32390,['FR'],"Eugenia is the queen of an imaginary European country. When her husband dies, quite unexpectedly, the country is left without a king. According to the law, the new king needs to be married so that leaves out the eldest son. Her youngest son, Prince Arnaud is married to the lovely Armelle and they have two young children. They become the future rulers of the kingdom.",0.3782,https://image.tmdb.org/t/p/w500/hBosGHhilFo9KVvIaBRxwPx9nAV.jpg,0,['woman director'],Palais royal!,tt0424338,2005,110,Comedy,5.6,2243,https://www.youtube.com/watch?v=Wq7ervV4hog
https://image.tmdb.org/t/p/original/qJyv8aRRwPhI5jX98XMmluWEdDq.jpg,0,349,['FR'],Crustacés et coquillages is a fresh French comedy film with numerous surprise turnarounds and about the tolerance of a family of four. The family spend an idealistic summer vacation together where each of the family members gets involved in a new or old relationship.,0.4644,https://image.tmdb.org/t/p/w500/eQPrrzj76pQxmprQ3LpHhriZqlJ.jpg,0,"['coming out', 'sexual identity', 'infidelity', 'friendship', 'new love', 'jealousy', 'france', 'aids', 'parent child relationship', 'holiday', 'portugal', 'eroticism', 'cruising', 'crush', 'summer', 'male masturbation', 'masturbation', 'lgbt', 'pretending to be gay', 'gay theme']",Crustacés & coquillages,tt0428430,2005,96,"Comedy,Musical,Romance",6.6,2132,pas disponible
