backdrop_path,budget,id,imdb_id,origin_country,overview,popularity,poster_path,revenue
https://image.tmdb.org/t/p/original/2lhfb7RneNHdyoUuPNxOuV04Rgh.jpg,0,61697,tt0056906,['FR'],"Paul Martin is the subservient brown-nosing youngster who needs quick advancement up the hierarchy to pay for the modern lifestyle he is buying on credit. Seeing that marrying his immediate superior's daughter will not get him the results he wants, he begins plotting the demise of the head of the company. The company itself specializes in holiday travel and unscrupulously brutalizes its customers for maximum profit, spending more thought on publicity gimmicks than customer service...",0.3684,https://image.tmdb.org/t/p/w500/xRruSuAV2Or71EMgYAGT8O0Vc3.jpg,0
https://image.tmdb.org/t/p/original/8PwJrI7a67QqWQYZ11oDc6Nqqtb.jpg,0,34059,tt0056917,['FR'],"A truck driver ventures into the Moroccan desert to retrieve a stolen truck, facing danger, bad luck, and uneasy alliances. Chaos builds to a climactic showdown.",0.41,https://image.tmdb.org/t/p/w500/s3C7Xm9RCW5grV5zJNSEtAky0Ar.jpg,0
https://image.tmdb.org/t/p/original/2pGyqnuNkZLRg2BbZheTsr3Sl4X.jpg,0,57144,tt0057051,['FR'],"Shopkeeper Victor Garnier has naively invested his family's life savings in an African mine, on his banker's recommendation. When the mine is nationalized, rendering the stock worthless, he considers himself shamelessly robbed by the bank; it seems only fair to him to return the 'favor' and rob the bank, teaming up with the whole family as they were all duped. Even for professionals such an enterprise -he decides to dig a tunnel- is quite demanding, but for simple commoners it's daunting, as they also have their personal downsides; thus Victor's wife has a most unwelcome tendency to blurt out the truth, even to the grumpy local copper: a crazy risk when you need to keep a criminal plan secret.",0.6021,https://image.tmdb.org/t/p/w500/cz7LwYjJCwjkPNC1Eid3hRK1dwE.jpg,0
https://image.tmdb.org/t/p/original/iy0eUwBRk1I7EUD1N9yjMryfr8G.jpg,0,36324,tt0057422,['FR'],"Léonard Monestier owns a large fortune, alas his wife Cynthia made a bad investment in a worthless oil concession. Far from letting this get him down, Léonard decides to find a sucker to buy this concession from him. Right on cue appears Antoine Brévin, a befuddled billionaire who is very interested in Léonard's beautiful daughter Patricia and would do anything to win her hand...",0.5725,https://image.tmdb.org/t/p/w500/7715vX6RRrR6ArYFAYMYrkmAeY5.jpg,0
https://image.tmdb.org/t/p/original/2pnfUSFqUPn9F4mzl1MLKrlnNbU.jpg,0,25253,tt0057591,['FR'],"An aging gangster, Fernand Naudin is hoping for a quiet retirement when he suddenly inherits a fortune from an old friend, a former gangster supremo known as the Mexican. If he is ambivalent about his new found wealth, Fernand is positively nonplussed to discover that he has also inherited his benefactor’s daughter, Patricia. Unfortunately, not only does Fernand have to put up with the thoroughly modern Patricia and her nauseating boyfriend, but he also had to contend with the Mexican’s trigger-happy former employees, who are determined to make a claim.",1.5269,https://image.tmdb.org/t/p/w500/1uYCIsMpX7FtWu2xO1YMIAQYvLR.jpg,0
https://image.tmdb.org/t/p/original/kKsy8sCjfOtfHPBT2i8z13bIRij.jpg,120000,8073,tt0057869,['FR'],"Cinephile slackers Franz and Arthur spend their days mimicking the antiheroes of Hollywood noirs and Westerns while pursuing the lovely Odile. The misfit trio upends convention at every turn, be it through choreographed dances in cafés or frolicsome romps through the Louvre. Eventually, their romantic view of outlaws pushes them to plan their own heist, but their inexperience may send them out in a blaze of glory -- which could be just what they want.",1.1742,https://image.tmdb.org/t/p/w500/9oqyj79xmcypxLajJdefOtrYx64.jpg,182857
https://image.tmdb.org/t/p/original/k31CzSjvmWXz6QDYhSK3KRmMy1s.jpg,0,31270,tt0057870,['FR'],"A cold-war spy parody. After the death of an armaments manufacturer, an international group of spies is drawn into a high-stakes battle of wits to obtain the valuable military patents which have been inherited by the lovely widow.",0.5524,https://image.tmdb.org/t/p/w500/mwePSc9Yjbg6tJPjspt99hHoMGf.jpg,0
https://image.tmdb.org/t/p/original/aDi4GqSYi4pcTvS7A9AuXLuhUVQ.jpg,678948,25866,tt0057967,['FR'],"In this Franco-Italian gangster parody, a shopkeeper on his way to an Italian holiday suffers a crash that totals his car. The culprit can only compensate his ruined trip by driving an American friend's car from Naples to Bordeaux, but as it happens to be filled with such contraband as stolen money, jewelry and drugs, the involuntary and unwitting companions in crime soon attract all but recreational attention from the ""milieu"".",1.4448,https://image.tmdb.org/t/p/w500/kGFE3U01sMApp5Q7h0akEvdTwPK.jpg,0
https://image.tmdb.org/t/p/original/g07zk1VEbNFaD9s1uaBjcR13Vr6.jpg,0,1871,tt0058089,['FR'],Fantômas is a man of many disguises. He uses maquillage as a weapon. He can impersonate anyone using an array of masks and can create endless confusion by constantly changing his appearance.,1.6396,https://image.tmdb.org/t/p/w500/eBg2ka0vAHZEwIWAaIYcDVp0wPx.jpg,0
https://image.tmdb.org/t/p/original/mSwyH7ix20lqdKmPx7682gALwGu.jpg,0,4727,tt0058135,['FR'],"The ambitious police officer Cruchot is transferred to St. Tropez. He's struggling with crimes such as persistent nude swimming, but even more with his teenage daughter, who's trying to impress her rich friends by telling them her father was a millionaire and owned a yacht in the harbor.",2.5933,https://image.tmdb.org/t/p/w500/6510K6Y8eYLf9FJ7O4xaOnwhn2u.jpg,0
https://image.tmdb.org/t/p/original/1oziVuVtJc7BgHRCVLhVJ53u9u3.jpg,0,4034,tt0058203,['FR'],"French military man Adrien Dufourquet gets an eight-day furlough to visit his fiancée, Agnès. But when he arrives in Paris, he learns that her late father's partner, museum curator Professor Catalan, has just been kidnapped by a group of Amazon tribesmen who have also stolen a priceless statue from the museum. Adrien and Agnès pursue the kidnappers to Brazil, where they learn that the statue is the key to a hidden Amazon treasure.",0.9435,https://image.tmdb.org/t/p/w500/AhaUqqHTIMSXG6WOMRCreitQ1ZX.jpg,0
